Unnamed: 0,predictedLabel,cluster_id,url,nodeID,specTableContent,keyValuePairs,domain,hasSpecTable,lang
676575,Computers_and_Accessories,6870127,avadirect.com/MasterFan-Pro-Air-Balance-120mm-w-RGB-LEDs-1300-RPM-42-7-CFM-20-dBA-Cooling-Fan/Product/11137472,_:node7c7cb52556b1fa41d1f855512cf772e6," MasterFan Pro 120 Air Balance RGB Model MFY-B2DN-13NPC-R1 Profile R Mode (Red) B Mode (Blue) RGB Mode (RGB Ready) Fan Speed (RPM) 650 ~ 1300 ± 10% Airflow (CFM) 42.7 ± 10% Air Pressure (mmH2O) 0.96 ± 10% Fan Noise Level (dBA) 6 ~ 20 (Max) Rated Current (A) 0.07 Dimensions (mm) 120 x 120 x 25 (4.7 x 4.7 x 1″) MTTF (hours) 490,000 L-10 Life (hours) 70,000 Rated Voltage 12 VDC Safety Current 0.45 A Connector 4-Pin Weight 162 g Warranty 5 Years EAN Code 4719512057766 UPC Code 884102031137","{'Dimensions (mm)': '120 x 120 x 25', 'L-10 Life (hours)': '70,000', 'Connector': '4-Pin', 'Airflow (CFM)': '42.7 ? 10%', 'Air Pressure (mmH2O)': '0.96 ? 10%', 'Profile': 'R Mode (Red)', 'Fan Speed (RPM)': '650 ~ 1300 ? 10%', 'Rated Current (A)': '0.07', 'Model': 'MFY-B2DN-13NPC-R1', 'Rated Voltage': '12 VDC', 'Weight': '162 g', 'UPC Code': '884102031137', 'Warranty': '5 Years', 'Fan Noise Level (dBA)': '6 ~ 20 (Max)', 'EAN Code': '4719512057766', 'Safety Current': '0.45 A', 'MTTF (hours)': '490,000'}",avadirect.com,1,en
324910,Computers_and_Accessories,1592696,backpacking-united.com/au/e-case-iseries-case-ipad-black,_:nodefede0443412572696c1b617da8a87c5," iPad Closure SealLock Zipper Color Black, Midnight Blue, Cool Gray, Olive, Mandarin Red, Cosmic Purple Weight 3 oz / 83.3 g Overall width 9.3 in / 24 cm Overall length 11.5 in / 28.5 cm Compartment width 7.7 in / 20.5 cm Compartment length 10.5 in / 25 cm Fits ALL Apple iPad generations PVC-Free Yes Material(s) 600D Polyurethane coated Polyester and Clear PVC-free windows Country of Origin MADE IN U.S.A. OF U.S. AND IMPORTED MATERIALS","{'': 'iPad', 'Color': 'Black, Midnight Blue, Cool Gray, Olive, Mandarin Red, Cosmic Purple', 'Material(s)': '600D Polyurethane coated Polyester and Clear PVC-free windows', 'Overall width': '240 mm', 'Weight': '83.3 g', 'Closure': 'SealLock Zipper', 'Compartment width': '205 mm', 'Compartment length': '205 mm', 'PVC-Free': 'Yes', 'Overall length': '285 mm', 'Country of Origin': 'MADE IN U.S.A. OF U.S. AND IMPORTED MATERIALS', 'Fits': 'ALL Apple iPad generations'}",backpacking-united.com,1,en
552896,Computers_and_Accessories,7801620,batteryjunction.com/duracell-mn1400b2z-2c,_:noded4d1b98f035b514c1b4cedde5cbb7fb," Battery Size: C Battery Capacity: Alkaline Battery, Capacity May VarymAh Battery Chemistry: Alkaline Battery Voltage: 1.5 Battery Terminal Type: Button Top Battery Shelf Life: 6-8 Years Packaging: Retail Packaging Brand: Duracell Warranty: Battery Junction 30-Day Warranty Return Policy: Battery Junction Return Policy Product Weight: 2.434oz Product Dimensions: 1.969"" (L) x 1.031"" (Diameter) UPC: 041333214016 MPN: DURACELL-MN1400B2 Country of Origin: CN Associated Battery Sizes: 14A, 14D, 814, AL-C, AM2, C, E93, EN93, KC, LR14, LR14XWA, MN1400, MX1400, PC1400, R14, UM2","{'Battery Shelf Life:': '6-8 Years', 'Battery Voltage:': '1.5', 'Return Policy:': 'Battery Junction Return Policy', 'Battery Chemistry:': 'Alkaline', 'Product Weight:': '69.00g', 'Warranty:': 'Battery Junction 30-Day Warranty', 'Country of Origin:': 'CN', 'Battery Capacity:': 'Alkaline Battery, Capacity May VarymAh', 'Packaging:': 'Retail Packaging', 'Battery Terminal Type:': 'Button Top', 'UPC:': '041333214016', 'Battery Size:': 'C', 'MPN:': 'DURACELL-MN1400B2', 'Product Dimensions:': '50.01mm (L) x 26.1874mm (Diameter)', 'Associated Battery Sizes:': '14A, 14D, 814, AL-C, AM2, C, E93, EN93, KC, LR14, LR14XWA, MN1400, MX1400, PC1400, R14, UM2', 'Brand:': 'Duracell'}",batteryjunction.com,1,en
3948,Computers_and_Accessories,1033771,bhphotovideo.com/c/product/1193466-REG/gigabyte_ga_h110m_s2h_gsm_b_motherboard_for_6th,_:node47e5108fdc6840d920d5296a5132301f, Processor & Chipset Chipset Manufacturer Intel Chipset Model H110 Total Processor Supported 1 Processor Socket Socket H4 LGA-1151 Processor Supported Celeron Core i3 Core i5 Core i7 Pentium Memory Number of Memory Slots 2 Memory Form Factor DIMM UDIMM Maximum Memory 32 GB Memory Technology DDR4 SDRAM Memory Speed Supported 2.13 GHz I/O Expansions Number of Total Expansion Slots 3 Total Number of PCI Express Slots 3 Number of PCI Express x1 Slots 2 Number of PCI Express x16 Slots 1 Interfaces/Ports Total Number of USB Ports 6 Number of USB 3.0 Ports 2 VGA Yes HDMI Yes DVI Yes Onboard Interfaceszxaffawexzxayytfwtayzurwf Number of SATA Interfaces 4 Total Number of Onboard USB Ports 6 Number of Onboard USB 3.0 Ports 2 Onboard S/PDIF Header Yes,"{'Onboard S/PDIF Header': 'Yes', 'Total Number of PCI Express Slots': '3', 'Number of Total Expansion Slots': '3', 'Maximum Memory': '32000 MB', 'Memory Technology': 'DDR4 SDRAM', 'Number of Memory Slots': '2', 'Number of SATA Interfaces': '4', 'Memory Form Factor': 'DIMM UDIMM', 'HDMI': 'Yes', 'VGA': 'Yes', 'Chipset Model': 'H110', 'Processor Socket': 'Socket H4 LGA-1151', 'Chipset Manufacturer': 'Intel', 'Total Processor Supported': '1', 'Number of USB 3.0 Ports': '2', 'Processor Supported': 'Celeron Core i3 Core i5 Core i7 Pentium', 'Number of PCI Express x16 Slots': '1', 'Number of PCI Express x1 Slots': '2', 'Memory Speed Supported': '2130 MHz', 'Number of Onboard USB 3.0 Ports': '2', 'Total Number of Onboard USB Ports': '6', 'Total Number of USB Ports': '6', 'DVI': 'Yes'}",bhphotovideo.com,1,en
179886,Computers_and_Accessories,1008586,bhphotovideo.com/c/product/1348962-REG/silicon_power_sp128gblu3z50v1sbh_128gb_iphone_ipad,_:node50d516c41493688332b58c44eb9d94a," Storage Capacity 128 GB Interface USB 3.0 (5 Gb/s) Connector USB Type-A, Lightning Maximum Read Speed Not specified by manufacturer Maximum Write Speed Not specified by manufacturer Encryption None Resistance Dust, Shock Material Zinc Alloy MFi Certification Yes Operating Temperature 32 to 158°F / 0 to 70°C Dimensions 1.6 x 0.6 x 0.3"" / 41.7 x 14.3 x 6.6 mm Weight 0.21 oz / 6 g","{'Connector': 'USB Type-A, Lightning', 'Maximum Write Speed': 'Not specified by manufacturer', 'MFi Certification': 'Yes', 'Interface': 'USB 3.0 (5000 Mb/s)', 'Material': 'Zinc Alloy', 'Encryption': 'None', 'Resistance': 'Dust, Shock', 'Weight': '6 g', 'Operating Temperature': '32 to 158?F / 0 to 70?C', 'Storage Capacity': '0.128 TB', 'Dimensions': '41.7 x 14.3 x 6.6 mm', 'Maximum Read Speed': 'Not specified by manufacturer'}",bhphotovideo.com,1,en
510968,Computers_and_Accessories,87266,budkoo.com/p/2016-newest-asus-156-high-performance-premium-hd-laptop-(intel-quad-core-pentium-n3700-processor-up-to-24-ghz-4gb-ram-500gb-hdd-supermulti-dvd-wifi-hdmi-vga-webcam-windows-10-silver)/57f009063330630003000212/,_:nodea848e51b1ba869c6c4809120eb325aad," Name Value Binding Personal Computers Color Silver Ean List 0741271365152 0889349370810 Hardware Platform PC Label Asus Manufacturer Asus Operating System Windows 10 Package Quantity 1 Studio Asus Upc 889349370810 Name Value Brand Asus Ean 0741271365152 Item Dimensions 1 x 15 x 4 x 9 Model Asus VivoBook Package Dimensions 3 x 20 x 6 x 12 Product Group Personal Computer Publisher Asus Title 2016 Newest ASUS 15.6"" High Performance Premium HD Laptop (Intel Quad Core Pentium N3700 Processor up to 2.4 GHz, 4GB RAM, 500GB HDD, SuperMulti DVD, Wifi, HDMI, VGA, Webcam, Windows 10-silver) Upc List 889349370810 741271365152 Name Value Binding Personal Computers Color Silver Ean List 0741271365152 0889349370810 Hardware Platform PC Label Asus Manufacturer Asus Operating System Windows 10 Package Quantity 1 Studio Asus Upc 889349370810 Name Value Brand Asus Ean 0741271365152 Item Dimensions 1 x 15 x 4 x 9 Model Asus VivoBook Package Dimensions 3 x 20 x 6 x 12 Product Group Personal Computer Publisher Asus Title 2016 Newest ASUS 15.6"" High Performance Premium HD Laptop (Intel Quad Core Pentium N3700 Processor up to 2.4 GHz, 4GB RAM, 500GB HDD, SuperMulti DVD, Wifi, HDMI, VGA, Webcam, Windows 10-silver) Upc List 889349370810 741271365152","{'Model': 'Asus VivoBook', 'Brand': 'Asus', 'Operating System': 'Windows 10', 'Item Dimensions': '10 x 150 x 40 x 90', 'Color': 'Silver', 'Hardware Platform': 'PC', 'Title': '2016 Newest ASUS 15.6"" High Performance Premium HD Laptop (Intel Quad Core Pentium N3700 Processor up to 2.4 GHz, 4GB RAM, 500GB HDD, SuperMulti DVD, Wifi, HDMI, VGA, Webcam, Windows 10-silver)', 'Ean': '0741271365152', 'Studio': 'Asus', 'Upc List': '889349370810 741271365152', 'Package Dimensions': '30 x 200 x 60 x 120', 'Publisher': 'Asus', 'Ean List': '0741271365152 0889349370810', 'Upc': '889349370810', 'Manufacturer': 'Asus', 'Product Group': 'Personal Computer', 'Binding': 'Personal Computers', 'Label': 'Asus', 'Package Quantity': '1'}",budkoo.com,1,en
682114,Computers_and_Accessories,9380377,canadapartsdirect.com/product_info.php?products_id=456949&currency=CAD,_:node96ad8987fb67455e2589ab8dbe1643e6, Specifications: Category IBM HardDrive Sub-Category 15K Generation SAS Part Number 43W7482-5Pack Products ID 456949 Capacity 146GB Enclosure Internal HDD Form Factor 3.5 inches Spindle Speed 15000RPM Special Features S.M.A.R.T Technology External Data Transfer Rate 300MB/s Seek Time 3.8ms Buffer Size 8MB Average Latency 2ms Interface (Detailed) SAS Hot Swap Yes,"{'': '', 'Interface (Detailed)': 'SAS', 'Category': 'IBM HardDrive', 'Generation': 'SAS', 'Spindle Speed': '15000RPM', 'Capacity': '0.146TB', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'Part Number': '43W7482-5Pack', 'Average Latency': '2ms', 'Products ID': '456949', 'Enclosure': 'Internal', 'External Data Transfer Rate': '300MB/s', 'Special Features': 'S.M.A.R.T Technology', 'Seek Time': '3.8ms', 'Sub-Category': '15K', 'HDD Form Factor': '88.9 m'}",canadapartsdirect.com,1,en
603875,Computers_and_Accessories,9380377,sillworks.com/canada/product_info.php?products_id=456949&currency=CAD,_:node7fbcc5ad371a268dde32542d55eebb8, Specifications: Category IBM HardDrive Sub-Category 15K Generation SAS Part Number 43W7482-5Pack Products ID 456949 Capacity 146GB Enclosure Internal HDD Form Factor 3.5 inches Spindle Speed 15000RPM Special Features S.M.A.R.T Technology External Data Transfer Rate 300MB/s Seek Time 3.8ms Buffer Size 8MB Average Latency 2ms Interface (Detailed) SAS Hot Swap Yes,"{'': '', 'Interface (Detailed)': 'SAS', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Capacity': '0.146TB', 'Seek Time': '3.8ms', 'Generation': 'SAS', 'Products ID': '456949', 'Part Number': '43W7482-5Pack', 'Enclosure': 'Internal', 'Spindle Speed': '15000RPM', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s', 'HDD Form Factor': '88.9 mm'}",sillworks.com,1,en
603877,Computers_and_Accessories,9380377,harddrivesdirect.com/product_info.php?cPath=&products_id=456949,_:node493a29e051dfbe38765492cfc62215, Specifications: Category IBM HardDrive Sub-Category 15K Generation SAS Part Number 43W7482-5Pack Products ID 456949 Capacity 146GB Enclosure Internal HDD Form Factor 3.5 inches Spindle Speed 15000RPM Special Features S.M.A.R.T Technology External Data Transfer Rate 300MB/s Seek Time 3.8ms Buffer Size 8MB Average Latency 2ms Interface (Detailed) SAS Hot Swap Yes,"{'': '', 'Interface (Detailed)': 'SAS', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Capacity': '0.146TB', 'Seek Time': '3.8ms', 'Generation': 'SAS', 'Products ID': '456949', 'Part Number': '43W7482-5Pack', 'Enclosure': 'Internal', 'Spindle Speed': '15000RPM', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s', 'HDD Form Factor': '88.9 mm'}",harddrivesdirect.com,1,en
390945,Computers_and_Accessories,9380377,usapartsdirect.com/product_info.php?cPath=&products_id=456949,_:node416399cec491bbcde352464b79e81b4c, Specifications: Category IBM HardDrive Sub-Category 15K Generation SAS Part Number 43W7482-5Pack Products ID 456949 Capacity 146GB Enclosure Internal HDD Form Factor 3.5 inches Spindle Speed 15000RPM Special Features S.M.A.R.T Technology External Data Transfer Rate 300MB/s Seek Time 3.8ms Buffer Size 8MB Average Latency 2ms Interface (Detailed) SAS Hot Swap Yes,"{'Interface (Detailed)': 'SAS', '': '', 'Part Number': '43W7482-5Pack', 'Buffer Size': '8MB', 'Enclosure': 'Internal', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Spindle Speed': '15000RPM', 'Capacity': '0.146TB', 'Seek Time': '3.8ms', 'Products ID': '456949', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Generation': 'SAS', 'HDD Form Factor': '88.9 mm', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s'}",usapartsdirect.com,1,en
