url,nodeID,keyValuePairs
100tinta.com/home/183277-lenovo-700-25ish-core-i7-6700-34-ghz-16-gb-112-tb-gf-gtx-960,_:node75afb47c181dd4989daddd74634d4e9,"{'Max CPU Qty': '1', 'CPU': 'Intel Core i7 (6th Gen) 6700 / 3.4 GHz', 'Interface Class': 'Serial ATA', 'Capacity': '1 x 1 TB', 'Type': 'Hybrid Drive', 'Processor Main Features': 'Intel Turbo Boost Technology 2', 'CPU Qty': '1', 'Number of Cores': 'Quad-Core', 'CPU Socket': 'LGA1151 Socket', 'Max Turbo Speed': '4 GHz', 'Interface Type': 'SATA 6Gb/s', 'Chipset Type': 'Intel H170 Express', 'Spindle Speed': '7200 rpm'}"
1sourcedist.com/Product/Details/4253077,_:node9dcc268d4f5fc44b794de732b6e7daf1,"{'Mfg Catalog #': 'A1084PHC', 'Country Of Origin': 'SG', 'Green Product': 'No', 'Brand Name': 'Allen-Bradley', 'Master UPC': '88563005847', 'Package-1 Desc': 'each', 'Invoice Description': 'Micro810 USB Adapter', 'DDS Manufacturer Specs (PDF)': 'https://media.distributordatasolutions.com/IDW/Rockwell_Automation2016-09-12T18_04_41Z/11181631_specShtURL', 'UNSPSC': '32151703', 'Manufacturer Specs PDF': 'http://literature.rockwellautomation.com/idc/groups/literature/documents/um/2080-um004_-en-e.pdf', 'Manufacturer': 'Hoffman', 'Catalog Description': 'USB Adapter', 'Order in Multiples of': '1 ea (Pack Qty)', 'Package Weight': '0.07', 'Manufacturer UCC Number': '885630', 'Mfr Minimum Ord Qty': '1', '12-Digit UPC': '885630058474', 'Package-1 Qty': '1', 'UPC': '78351017074', 'Item #': '3967045', 'Mfr Name': 'Rockwell Automation', 'PGC3': '17A', 'Weight': '0.075'}"
4starelectronics.com/part_detail/AT29C102490TC,_:nodef115458d4437ed9a9544e8b37785d8e9,"{'Manufacturer:': 'Atmel', 'Last Updated:': '11/20/2017', 'Mfg Part#': 'AT29C1024-90TC', 'Qty In-Stock': 'Request a Quote or Call.', 'Part Type:': 'Flash Memory', '\xa0': '\xa0', 'Price:': 'Request Quote', 'Part ID#': 'AT29C102490TC'}"
5freehosting.com/product/1066526/,_:node6370a9b38db81ad9afdaa1c56a7485be,"{'Manufacturer': 'Apple Computer', 'Brand': 'Apple', 'Package Size': '5.8 x 1.7 x 1.7 inches', 'UPC': '880959726080', 'Model': 'ME279LL/A', 'Color': 'Silver', 'Package Weight': '1.45 pounds', 'Item Weight': '0.73 pounds', 'Units in Package': '1', 'Item Size': '5.3 x 0.29 x 0.29 inches'}"
abdofficesolutions.com/products/brand-new-toshiba-e-studio-2802am-a4-mono-laser-multifunction-copier,_:node99bb57393e7efb979bb235cf8f48d95a,"{'Paper Capacity (std / max.)': '300 sheets', 'Standard Paper Supply': '1 x\xa0 250 sheets drawer 1 x 50 sheets bypass tray', 'Maximum Paper Size': '8.5"" x 14"" or A4', 'Media Types': '-', 'Maximum Paper Weight': 'up to 120 lb.'}"
abt.com/product/45338/Lenovo-ThinkCentre-A63-Desktop-Computer-A63,_:nodeffaf6ddb4c69feab766dccc84dd4fe14,"{'Recordable DVD Drive': 'Yes', 'Operating Platform': 'PC', 'Labor Warranty': '3 Years', 'Processor Speed': '2.70 GHz', 'Graphics Card': 'ATI Radeon 3000', 'Software Included': 'Skype, Adobe Reader, Adobe Flash Player, Lenovo Password Manager, ThinkVantage Power Manager, ThinkVantage System Update, Microsoft Office 2007 (60 days trial), Norton Internet Security 2009 (30 days subscription)', 'Processor': 'AMD Sempron 140', 'System Memory (RAM)': '2GB', 'Height (inches)': '15.8""', 'Hard Drive Size': '250GB', 'Depth (inches)': '17.3""', 'Width (inches)': '6.9""', 'Operating System': 'Windows 7 Professional', 'Parts Warranty': '3 Years', 'Energy Star Qualified': 'No', 'RAM Expandable To': '4GB', 'Processor Brand': 'AMD', 'Weight (pounds)': '26 lbs', 'HDMI Output': 'No', '\xa0': '\xa0'}"
abt.com/product/45966/Apple-iPad-With-Wi-Fi-16GB-MB292LLA,_:noded45716cbbaf18bbf3b3e352eba1eac3,"{'Operating Platform': 'Mac', 'Processor Speed': '1GHz', 'Width': '7.47""', 'Processor': 'Apple A4', 'Warranty Parts': '1 Year', 'Height': '9.56""', 'Energy Star': 'Yes', 'Hard Drive Size': '16GB Flash Drive', 'Display Type': 'LED-acklit glossy widescreen Multi-Touch display with IPS technology', 'Warranty Labor': '1 Year', 'Display Size': '9.7""', 'Approximate Battery Life': 'Up To 10 Hours', 'Depth': '0.5""', 'Bluetooth Enabled': 'Yes', 'HDMI Output': 'No', 'Built In Web Cam': 'No', 'Processor Brand': 'Apple', 'Weight': '1.5 lbs', '\xa0': '\xa0'}"
abt.com/product/74347/Apple-Silver-iPad-Mini-With-Retina-Display-Wi-Fi-Cellular-16-GB-For-AT-T-MF074LLA?tab=1,_:node92636fb27be699f3cff575f035aa2392,"{'Screen Size (inches)': '7.9', 'Operating Platform': 'Apple iOS', 'Storage Capacity': '16GB', '\xa0': '\xa0', 'Wireless Capabilities': 'Wi-Fi + 4G AT&T'}"
active-robots.com/brands/microbot/computer-interfaces/micro-usb-to-serial-adapter,_:node9235f1b75ad88e1ca360a8560818855,"{'Weight': '1.4g / 0.05 oz', 'Current consumption': '13mA typ. (15mA max.)', 'Operating Temperature': '-40 Â° C to +85 Â° C', 'Operating Voltage': '5V from USB port', 'Serial Signals': 'TX, RX, RTS, CTS', 'Connector': 'USB Mini-B', 'Logical levels of I / O': 'TTL', 'Dimensions': '19x13x7mm (excluding strip connectors)'}"
aerocooler.com/vantec-nst-520s3-bk-nexstar-usb3-0-slim-sata-optical-drive-enclosure/,_:nodee9d728d6d78a77a42933bf358d4f6a,"{'Device Support:': 'Slim SATA Optical Drive', 'Dimensions:': '136 x 149 x 19 mm', 'Model:': 'NST-520S3-BK (black)', 'Internal Interface:': 'Standard Slim SATA interface', 'Device Size:': 'Slim laptop optical drive, Thickness: 12.7mm', 'Material:': 'Aluminum & Plastic', 'USB cable Length:': '660 mm (26 inches)', 'External Interface:': 'USB 3.0', 'Power:': 'USB Bus Powered'}"
