Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
15 ms,10400 mAh,400 MHz,0.44 m,128 MB,0.45 GHz,480 Mbps,2.23 mm,100--240V,0.01 cm,16 gb RAM,100MHz,SODIMM,3.3V,700  W,10 €,8 Mbps,5400 rpm,23 inch,0.001  TB,Lifetime,9.00 g,2.54 mm,2 Mbps,Up to 600 x 2
8.2 ms,10400 mAh,667 MHz,1.7 m,12 MB,3.6 GHz,5000 Mbps,2.38 mm,50-60Hz,0.02 cm,4 gb RAM,1066 MHz,SDRAM,12V,180 W,20 €,30 Mbps,7200 rpm,13.3 inch ,1 TB,1 year,9.07 g,9.50 mm,8 Mbps,400 dpi
3.5 ms,11560 mAh,1,4.57 m,15 MB,2.00 GHz,200 Mbps,2.54 mm,100-240V ~1.2-0.6A,0.03 cm,12 gb RAM,1333 MHz,DDR2 SDRAM,25 A 5 V,135 W,30 €,22 Mbps,10000 rpm,28 inch,1.2 TB,Limited 2 year,10.00 g,10.16 mm,5 Mbps,8.0MP / Video: 1920 x 1080p30 fps
4.1 ms,1200 mAh,000 MHz,4,16 MB,3.4 GHz,20000 Mbps,3.73 mm,50/60Hz,0.04 cm,32 gb RAM,1600 MHz,DDR2 (PC2-6400), 3.3 V, 1125 W,40 €,480 Mbps,15000 rpm,27 inch,1.5 TB,6 Months,10.40 g,12.10 mm,5 Mbps,8.0MP / Video: 1920 x 1080p
3.4 ms,12000 mAh,533 MHz,572 m,16 MB L3 Cache,0.797 GHz,6000 Mbps ,3.8 mm,10 -18V DC,0.08 cm,64 gb RAM,1866 MHz,DDR4 (PC4-24000),5 V,65 W,50 €,6 Mbps,,10.5 inch,1.6 TB,3 Months Warranty,11.00 g,12.70 mm,8 Mbps,5080 lpi
10 ms,13000 mAh,6,144.5768 m,1M,2.0 GHz,256 Mbps ,3.98 mm,100-240V ~1.5A,0.12 cm,16 GB RAM,200MHz,DDR4 ECC Registered, 15V,45 W,60 €,22 Mbps,,7.9 inch,1.61 TB,2 Years,11.06 g,15.24 mm,7.5 Mbps,1366 x 768p
3.6 ms,18000 mAh,670 MHz,1.44 m,1 MB Integrated Level 2 Cache,0.35 GHz,80 Mbps ,4.55 mm,50/60Hz,0.24 cm,8 GB RAM,2133 MHz,GDDR5X,16V,33 W,70 €,14 Mbps,,15.4 inch,1.6 TB,72 months,11.30 g,17.78 mm,4 Mbps,1024*600 IPS
7.5 ms,2200 mAh,1,0.127 m,1 MB Integrated Level 2 Cache per Core,2.50 GHz,3072 Mbps,5.08 mm,100-240V ~1.8-0.6A,0.28 cm,3 Gb RAM,2400 MHz,DDR3LSDRAM,18.5V,87 W,80 €,15 Mbps,,12.9 inch,1.8 TB,5 Years Warranty,11.34 g,18.00 mm,480 Mbps,1600DPI
8 ms,2200 mAh,333 MHz,0.2 m,1 MB L2 cache,2.93 GHz,3000 Mbps,5.5 mm,50/60Hz,0.35 cm,8 GB RAM,266 MHz,DDR4SDRAM,19.5V,120 W,90 €,16 Mbps,,7 inch,2 TB,7 Year,11.91 g,19.85 mm,5 Mbps,1920 x 1080 @ 120 Hz
14 ms,2200 mAH,800 MHz,2 m,1 MB Level 2,2.60 GHz,150 Mbps ,6.8 mm,100-240 V,0.39 cm,2 GB RAM,2800 MHz,PC2700 DDR,20V,180 W,100 €,3 Mbps,,24 inch,10 TB,5 year manufacturer warranty,12.00 g,20.32 mm,6 Mbps,1400 x 1050 pixels
