Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
1c company,USB 3.0,101920-001,CZ33,Intel Xeon,abs,Brand New,(100MHz,23,Windows XP pro for Embedded,3.3V DC,10400mA,1GB,682851727758,Magnesium,700 W,Kensington Lock Slot,DDR4,NVIDIA GeForce930MX,480Mbps,Lifetime,We have to add values,450 MHz,S.M.A.R.T.,44cm,100--240V,128MB,RAID 0 RAID 1 RAID 5 RAID 10 ADG,Socket AM2+ PGA-940,10 Gigabit Ethernet,Lithium Ion (Li-Ion),single-core,15ms,5400rpm,23,G1,Storage Controller,United States,7331990041821,SODIMM,8 Mbps,2MB / sec,IBM-240EMLCRI-S12,Up to 600 x 2
2-power,FireWire 800,105739-001,DTSE9H,Intel Celeron,abs plastic,Gently Used,1066 MHz,13.3,Windows 7 for Embedded,12V,10400mAh,1TB,092636309817,Dark Brown,180W,Power-On Password,128 MB RAM,ATI Radeon 3000,5Gbps,1 year,,3.6 GHz,S.M.A.R.T Technology,170cm,50-60Hz,12MB,0,Socket LGA-1156,Ethernet 10GBase-T,Replacement Battery,dual-core,8.2ms,7200rpm,1.98 lbs,G2,SCSI Controller,CN,8719675008632,SDRAM,24x DVD-ROM,8MB / sec,IB1002,400 dpi
2k games,eSATA,108859-001,DTWS,Intel Celeron D 341,acrylic,Refurbished,1333 MHz,28,Windows Embedded Standard 7,25 A 5 V,11560mAh 3.7V,1.2TB,886227812967,Black Silver,135W,Key lock,16gb RAM,Intel HD Graphics515,200MBps,Limited 2 year,,2.00GHz,IEEE 802.3,4.57m,100-240V ~1.2-0.6A,15MB L3 Cache,1,Socket B2 LGA-1356,20 Gigabit Ethernet,Valve-regulated lead acid (VRLA),triple-core,3.5ms,10000rpm,1.24Kg,G3,System Upgrade Kit,Thailand,4051528145922,DDR2 SDRAM,30 MBps,5 Mbps,DN-95103-2,8.0MP / Video: 1920 x 1080p30 fps
3com,9-pin ports,119826,Hayabusa,Intel Core 2 Duo,acrylonitrile butadiene styrene (abs),Used,1600 MHz,27,Windows XP Embedded, 3.3 V DC @ 24 A 5 V,1200 mAh,1.5TB,843591012904,Silver Aluminum,USB Charge,HDD User Password Protection,4gb RAM,Intel HD Graphics630,20Gbps,6 Months,,3.4GHz,IEEE 802.3u,15ft,50/60Hz,16MB,10,Socket FCLGA2011,Hi-Speed USB,Li-Ion Rechargeable Battery,quad-core,4.1ms,15000rpm,14.11 lbs,G4,Low Profile U320 Controller,TW,5099206048607,DDR2 (PC2-6400),22MB/sec,5 - 6MB / sec,HDM19191.5FV1.4,8.0MP / Video: 1920 x 1080p
3m,USB 2.0,122235-001,MB-MP32D/IN,Intel Dual Core Xeon 5110,alloyed case-hardened steel,,1866 MHz,10.5,Embedded Linux, 15V,12000mA,1.6TB,848354009764,Gray, 1125W, Password,12gb RAM,Intel HD Graphics610,6GB/s,3 Months Warranty,,797 MHz,IEEE 802.1Q,56.92 / 144cm,10 -18V DC,16MB L3 Cache,0,Socket B LGA-1366,Fibre Channel,A1322 Rechargeable Li-ion Battery,hexa-core,3.4ms,,3.88 oz /110 g,G5,Patch Cable,MADE IN U.S.A. OF U.S. AND IMPORTED MATERIALS,0088698690901,DDR4 (PC4-24000),480 Mbps,8MB/sec,MEMUSB-256FT=,5080 lpi
3ware,Thunderbolt 2,128017-001,MUF-128CB,Intel Dual Core Xeon 5120,aluminium,,200MHz,7.9,Real-time Kernel,16V,13000mAh,1.61TB,843591008150,Grape,12V adaptor,Fingerprint,32gb RAM,NVIDIA GeForce GTX 950,256MB/s,2 Years,,2.0GHz,IEEE 802.3ab,5.0 / 1.5m,100-240V ~1.5A,1M,1,Socket FM1,Ethernet,6-cell Li-ion,octa-core,10ms,,10.40 x 295 g,G6,Processor Upgrage,PH,0722868685556,DDR4 ECC Registered,3.5 - 6 MB / s,7.5MB/sec,GS40 6QE-079NL,1366 x 768p
505 games,SATA,128286-001,UHS-I U1,Intel Dual Core Xeon 5130,aluminum alloy,,2133 MHz,15.4,Windows 2000,18.5V,18000mA,1.6TB,731215290725,Black&White,External AC power supply,Wpa2,64 gb RAM,Radeon Pro 560,80MB/s,72 months,,350 MHz,IEEE 802.3x,0.2m,50/60Hz,1MB Integrated Level 2 Cache,1 ADM,Socket B LGA-1155,Fast Ethernet,Rechargeable Li-ion Battery,deca-core,3.6ms,,3.99 oz / 113 g,G7,Hard Drive,Korea (Republic of),7228686855568,GDDR5X,22MB / sec,4-5MB / sec,UTP603OBOOTED,1024*600 IPS
505 gamestreet,SCSI,133518-003,SDCZ36-016G-B35,Intel Dual Core Xeon 5150,aluminum copper,,2400 MHz,12.9,Windows XP,19.5V,2200 mAh,1.8TB,031112581224,Sparkly Silver,65W,Wpa2-Psk, 1MB FLASH,Intel Iris Graphics,3072MB/s,5 Years Warranty,,2.50GHz,IEEE 802.3ad (LACP),2m,100-240V ~1.8-0.6A,1MB Integrated Level 2 Cache per Core,10,Socket T LGA-775,Ethernet Fast Ethernet Gigabit Ethernet,Rechargeable Battery,dodeca-core,7.5ms,,10.48oz / 297g,G8,Stylus,Taiwan,8592978028329,DDR3LSDRAM,14-16MB / sec,480 Mbps,B-UTP602P,1600DPI
a-rival,Micro-USB 3.0,143397-001,SDCZ36-032G-AFFP,Intel Dual Core Xeon 5150,aluminum fin,,266 MHz,7,Windows Vista,20V,2200mA,2TB,738878664856,Obsidian Black,1 x 45W,keylock,SDRAM,Integrated Intel HD Graphics,3.0GB/s,7 Year,,2.93GHz,IEEE 802.3,3m,50/60Hz,1MB L2 cache,10 ADM,Socket FC-LGA4-755,Gigabit Ethernet,A1309 Rechargeable Li-ion Battery,tetradeca-core,8ms,,6 lb/2.7 kg,G9,Processor Board,China,0884956004134,DDR4SDRAM,3MB/sec,5-6MB/sec,750-AAHC,1920 x 1080 @ 120 Hz
a-solar,ATA-300,157793-001 159125-B21,SDCZ36-064G-AFFP,Intel Pentium,aluminum fin copper base,,2800 MHz,24,Mac OS 10,22V,2200mAH,10TB,883585485611,Space Grey,ATX PS2 ,AES 256-bit encryption,16GB DDR3,Intel Iris Plus Graphics 650,150MB/s,5 year manufacturer warranty,,2.60GHz,IEEE 802.3u,40 cm,100-240 V,1MB Level 2,5,Socket LGA-771,10 Gigabit Ethernet,Li-polymer,pentadeca-core,14ms,,841g,G10,Network Cable,Korea,8719675006188,PC2700 DDR,12-13MB/sec,6-7MB / sec,S14A-000-20405,1400 x 1050 pixels
